,track_name,available_markets,duration_ms,explicit,artists_names,principal_artist_name,principal_artist_followers,acousticness,danceability,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,sound_system
4865,It Never Rains (In Southern California),"Europe, Africa, Asia, America, Oceania",304240,False,Tony! Toni! Toné!,Tony! Toni! Toné!,988793,0.245,0.742,0.359,10,0.0797,-14.098,B,0.0423,79.862,4,0.85,52,1990,A Major
4866,It Takes Two,"Europe, Africa, Asia, America, Oceania",300640,False,Rob Base & DJ EZ Rock,Rob Base & DJ EZ Rock,181349,0.00228,0.8,0.723,2,0.26,-9.719,B,0.158,111.593,4,0.651,62,1988,D-Flat Major
4867,It Takes Two,"Europe, Africa, Asia, America, Oceania",301893,False,Rob Base & DJ EZ Rock,Rob Base & DJ EZ Rock,181349,0.0143,0.767,0.776,2,0.326,-8.915,B,0.144,111.686,4,0.608,58,1990,D-Flat Major
4868,It Was A Good Day,"Europe, Africa, Asia, America, Oceania",260000,True,Ice Cube,Ice Cube,7297451,0.33,0.798,0.744,7,0.292,-5.328,A,0.136,82.356,4,0.794,84,1992,A Minor
4869,It Wasn't Me,America,227546,False,Shaggy;Rik Rok,Shaggy,2019353,0.0503,0.852,0.604,0,0.327,-4.569,B,0.0642,94.762,4,0.667,63,2008,B Major
4870,It Wasn't Me,"Europe, Africa, Asia, America, Oceania",227600,False,Shaggy;Rik Rok,Shaggy,2019353,0.0561,0.853,0.606,0,0.313,-4.596,B,0.0713,94.759,4,0.654,81,2000,B Major
4871,It Will Rain,America,257720,False,Bruno Mars,Bruno Mars,50572176,0.337,0.576,0.835,2,0.082,-6.826,B,0.0486,150.017,4,0.476,71,2011,D-Flat Major
4872,It Won't Be Like This For Long,"Europe, Africa, Asia, America, Oceania",219000,False,Darius Rucker,Darius Rucker,2477151,0.335,0.584,0.524,4,0.11,-6.001,B,0.0287,143.863,4,0.389,63,2008,E-Flat Major
4873,It Won't Stop (feat. Chris Brown) - EP Version,"Europe, Africa, Asia, America, Oceania",281080,False,Sevyn Streeter;Chris Brown,Sevyn Streeter,1388359,0.016,0.657,0.574,1,0.172,-9.484,A,0.0407,119.992,4,0.211,70,2013,E-Flat Minor
4874,It's A Great Day To Be Alive,"Europe, Africa, Asia, America, Oceania",241533,False,Travis Tritt,Travis Tritt,1322325,0.246,0.595,0.653,7,0.264,-4.935,B,0.0265,128.93,4,0.542,76,2000,C Major
4875,It's A Little Too Late - 1996 Greatest Hits Version,"Europe, Africa, Asia, America, Oceania",163560,False,Mark Chesnutt,Mark Chesnutt,749450,0.317,0.512,0.909,9,0.0681,-7.505,B,0.0504,172.975,4,0.791,57,1996,D Major
4876,It's A Man's World,America,197933,False,James Brown,James Brown,2074762,0.322,0.729,0.28,2,0.0783,-13.452,A,0.0366,102.869,3,0.25,49,1991,B-Flat Minor
4877,It's A Wrap,America,238866,False,Mariah Carey,Mariah Carey,9279121,0.354,0.626,0.357,2,0.0552,-7.166,A,0.0631,179.869,3,0.401,64,2009,B-Flat Minor
4878,"It's All About the Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix","Europe, Africa, Asia, America, Oceania",278200,True,Diddy;The Notorious B.I.G.;Lil' Kim;The LOX;Stevie J,Diddy,1526008,0.0405,0.856,0.696,6,0.0901,-3.51,B,0.226,89.738,4,0.718,59,1997,F Major
4879,It's All Been Done,"Europe, Africa, Asia, America, Oceania",206000,False,Barenaked Ladies;Tom Lord-Alge,Barenaked Ladies,747848,0.000173,0.521,0.919,2,0.301,-3.146,B,0.0475,131.726,4,0.746,58,1998,D-Flat Major
4880,It's All Coming Back to Me Now,"Europe, Africa, Asia, America, Oceania",456866,False,Céline Dion,Céline Dion,7657792,0.753,0.384,0.438,0,0.101,-9.149,B,0.0362,87.903,4,0.287,74,1996,B Major
4881,It's All Right - Single Version,"Europe, Africa, Asia, America, Oceania",167973,False,The Impressions,The Impressions,268927,0.256,0.558,0.365,1,0.341,-15.422,B,0.25,81.503,3,0.635,55,1995,F-Sharp Major
4882,It's Been Awhile,America,264706,True,Staind,Staind,2390625,0.00189,0.509,0.774,6,0.143,-4.054,B,0.0338,116.529,4,0.0824,71,2001,F Major
4883,It's Been So Long,"Europe, Africa, Asia, America, Oceania",174394,False,The Living Tombstone,The Living Tombstone,2780579,0.114,0.564,0.647,10,0.17,-6.759,A,0.0407,95.923,4,0.458,75,2014,F-Sharp Minor
4884,"It's Been a Long, Long Time (with Harry James & His Orchestra)","Asia, America",203773,False,Kitty Kallen;Harry James,Kitty Kallen,25736,0.938,0.272,0.219,0,0.263,-9.767,B,0.0305,74.697,4,0.374,58,1990,B Major
4885,It's Called: Freefall,"Europe, Africa, Asia, America, Oceania",152293,True,Rainbow Kitten Surprise,Rainbow Kitten Surprise,998301,0.632,0.744,0.516,2,0.605,-6.365,B,0.0513,97.944,4,0.281,81,2018,D-Flat Major
4886,It's Five O'Clock Somewhere (with Jimmy Buffett),America,230266,False,Alan Jackson;Jimmy Buffett,Alan Jackson,2465796,0.22,0.713,0.768,2,0.177,-6.702,B,0.0363,125.203,4,0.878,69,1991,D-Flat Major
4887,It's Five O'Clock Somewhere (with Jimmy Buffett),"Europe, Africa, Asia, America, Oceania",230133,False,Alan Jackson;Jimmy Buffett,Alan Jackson,2465796,0.208,0.713,0.772,2,0.211,-6.69,B,0.0372,125.202,4,0.88,67,2010,D-Flat Major
4888,It's Funky Enough - Remastered Single,"Europe, Africa, Asia, America, Oceania",269973,False,The D.O.C.,The D.O.C.,420456,0.00257,0.83,0.797,7,0.272,-6.627,B,0.152,90.229,4,0.886,55,1989,C Major
4889,It's Getting Hot,"Europe, Africa, Asia, America, Oceania",134424,True,NLE Choppa,NLE Choppa,6647155,0.015,0.908,0.757,11,0.0673,-3.889,A,0.0606,106.031,4,0.577,83,2023,D-Flat Minor
4890,It's Goin' Down,"Europe, Africa, Asia, America, Oceania",324706,True,Celly Cel,Celly Cel,275059,0.049,0.83,0.491,6,0.0548,-8.504,A,0.23,75.186,4,0.812,53,1996,D Minor
4891,It's Goin' Down (feat. Nitti),"Europe, Africa, Asia, America, Oceania",241840,True,Yung Joc;NITTI,Yung Joc,801262,0.0986,0.888,0.577,1,0.131,-7.702,A,0.0612,84.003,4,0.609,68,2006,E-Flat Minor
4892,It's Gonna Be Me,"Africa, Asia, America, Oceania",192426,False,*NSYNC,*NSYNC,2055690,0.0407,0.636,0.873,0,0.0372,-4.672,A,0.071,165.071,4,0.908,71,2000,A-Flat Minor
4893,It's Good To Be King,"Europe, Africa, Asia, America, Oceania",310933,False,Tom Petty,Tom Petty,2316570,0.0143,0.523,0.622,2,0.297,-6.632,B,0.0245,147.878,4,0.446,54,1994,D-Flat Major
4894,It's Just a Matter of Time,"Europe, Africa, Asia, America, Oceania",235920,False,Randy Travis,Randy Travis,1648349,0.472,0.259,0.59,3,0.135,-8.343,B,0.0363,201.016,3,0.474,52,1989,A-Flat Major
4895,It's My Life,"Europe, Africa, Asia, America, Oceania",224493,False,Bon Jovi,Bon Jovi,12618789,0.0263,0.551,0.913,0,0.347,-4.063,A,0.0466,119.992,4,0.544,82,2000,A-Flat Minor
4896,It's My Life,"Europe, Africa, Asia, America, Oceania",225866,False,No Doubt,No Doubt,2592505,0.00264,0.606,0.75,8,0.321,-4.535,A,0.0306,126.316,4,0.771,63,2003,E Minor
4897,It's My Life,"Europe, Africa, Asia, America, Oceania",239933,False,Dr. Alban,Dr. Alban,221583,0.00328,0.655,0.933,7,0.0983,-7.703,B,0.0536,128.699,4,0.472,74,1992,C Major
4898,It's Not Living (If It's Not With You),"Europe, Africa, Asia, America, Oceania",248335,False,The 1975,The 1975,6885051,0.000254,0.618,0.837,1,0.0618,-5.338,B,0.0304,121.227,4,0.526,76,2018,F-Sharp Major
4899,It's Not My Time,America,241960,False,3 Doors Down,3 Doors Down,4198411,0.00133,0.532,0.935,0,0.106,-4.798,B,0.0619,128.025,4,0.309,66,2008,B Major
4900,It's Not Over,America,215026,False,Daughtry,Daughtry,2078878,0.0503,0.428,0.919,10,0.245,-3.245,A,0.0618,145.927,4,0.294,66,2006,F-Sharp Minor
4901,It's Not Right But It's Okay,"Europe, Africa, Asia, America, Oceania",292400,False,Whitney Houston,Whitney Houston,9565082,0.162,0.805,0.802,1,0.0698,-7.076,B,0.1,127.924,4,0.531,69,1998,F-Sharp Major
4902,"It's Not a Fashion Statement, It's a Deathwish","Europe, Africa, Asia, America, Oceania",210866,False,My Chemical Romance,My Chemical Romance,7899638,0.000129,0.353,0.953,1,0.34,-3.635,A,0.0515,105.236,4,0.48,60,2004,E-Flat Minor
4903,It's Oh So Quiet,America,217733,False,Björk,Björk,1877531,0.631,0.474,0.136,3,0.0717,-14.114,B,0.0595,124.412,3,0.2,52,1995,A-Flat Major
4904,It's On!,"Europe, Africa, Asia, America, Oceania",269573,False,Korn,Korn,6602756,0.00074,0.447,0.795,11,0.0992,-6.855,A,0.109,90.975,4,0.229,59,1998,D-Flat Minor
4905,It's Only A Paper Moon,"Europe, Africa, Asia, America, Oceania",160133,False,Ella Fitzgerald;The Delta Rhythm Boys,Ella Fitzgerald,2336827,0.944,0.761,0.103,10,0.127,-16.964,B,0.0416,114.044,4,0.53,60,1994,A Major
4906,It's So Easy,"Europe, Africa, Asia, America, Oceania",202693,True,Guns N' Roses,Guns N' Roses,29835847,0.0207,0.387,0.989,8,0.126,-6.182,B,0.163,150.763,4,0.216,65,1987,G Major
